Run_name,CID,sample_id,SampleName,GENOTYPE,BARCODE,input_file,genome,Found
202410211038_20241118210218,HBVpos20240425,202410211038_20241118210218_HBVpos20240425,202410211038_20241118210218_HBVpos20240425,hbv,1,az://nextflow/nanopore-files/202410211038/experiment/fastq_pass/barcode01/FAY73006_pass_barcode08_35401f01_726ce21c_1.fastq.gz,hbv,True
202410211038_20241118210218,HBVpos20240425,202410211038_20241118210218_HBVpos20240425,202410211038_20241118210218_HBVpos20240425,hbv,1,az://nextflow/nanopore-files/202410211038/experiment/fastq_pass/barcode01/FAY73006_pass_barcode08_35401f01_726ce21c_2.fastq.gz,hbv,True
202410211038_20241118210218,HBVpos20240425,202410211038_20241118210218_HBVpos20240425,202410211038_20241118210218_HBVpos20240425,hbv,1,az://nextflow/nanopore-files/202410211038/experiment/fastq_pass/barcode01/FAY73006_pass_barcode08_35401f01_726ce21c_3.fastq.gz,hbv,True
202410211038_20241118210218,HBVpos20240425,202410211038_20241118210218_HBVpos20240425,202410211038_20241118210218_HBVpos20240425,hbv,1,az://nextflow/nanopore-files/202410211038/experiment/fastq_pass/barcode01/FAY73006_pass_barcode08_35401f01_726ce21c_4.fastq.gz,hbv,True
202410211038_20241118210218,HBVpos20240425,202410211038_20241118210218_HBVpos20240425,202410211038_20241118210218_HBVpos20240425,hbv,1,az://nextflow/nanopore-files/202410211038/experiment/fastq_pass/barcode01/FAY73006_pass_barcode08_35401f01_726ce21c_6.fastq.gz,hbv,True
202410211038_20241118210218,CMVpos20240425,202410211038_20241118210218_CMVpos20240425,202410211038_20241118210218_CMVpos20240425,cmv,2,az://nextflow/nanopore-files/202410211038/experiment/fastq_pass/barcode02/FAY73006_pass_barcode17_35401f01_726ce21c_1.fastq.gz,cmv,True
202410211038_20241118210218,CMVpos20240425,202410211038_20241118210218_CMVpos20240425,202410211038_20241118210218_CMVpos20240425,cmv,2,az://nextflow/nanopore-files/202410211038/experiment/fastq_pass/barcode02/FAY73006_pass_barcode17_35401f01_726ce21c_2.fastq.gz,cmv,True
